,title,price,rating,reviews,market,link,req
43,"Кружка фарфоровая для чая, кофе Atmosphere ""Geometry"" 360 мл, розовый",259,4.9,3688,ozon,https://www.ozon.ru/product/kruzhka-farforovaya-dlya-chaya-kofe-atmosphere-geometry-360-ml-rozovyy-200583703/?at=k2to2x37BcxxXN6rfqzBQzyhYRZEGzCZB72lPT6pDRW7,Кружка
44,Кружка Розовый котик с хвостиком/двойные стенки стакан Розовый милый кот,577,4.9,2283,ozon,https://www.ozon.ru/product/kruzhka-rozovyy-kotik-s-hvostikom-dvoynye-stenki-stakan-rozovyy-milyy-kot-1440227154/?at=K8tZ7VxlWcMY7QMwU3rGR1LI4n8xyjC3O6NPNUNOrjGY,Кружка
45,"Кружка HOMECLUB в ассортименте, керамика, 350мл",93,4.8,121,ozon,https://www.ozon.ru/product/kruzhka-homeclub-v-assortimente-keramika-350ml-1595526512/?at=Rlty42PJWTp94R61fAJJg00fxAjjrPfLwMAK1f39KJx2,Кружка
46,modi Большая кружка гигант для чая и кофе / Огромная чашка,761,4.9,2660,ozon,https://www.ozon.ru/product/modi-bolshaya-kruzhka-gigant-dlya-chaya-i-kofe-ogromnaya-chashka-1212874304/?at=WPtNrJw2qtwX7ozMFmnZQAzFnV9NqnH2LBgmpfn0YgJ9,Кружка
47,"Кружка Что там у тебя?, 390 мл., белый",325,4.9,704,ozon,https://www.ozon.ru/product/kruzhka-chto-tam-u-tebya-390-ml-belyy-180907826/?at=x6tPEYqyvHLngY5ZTwB9wX6TEkDBJ8H15QWwptAroEm1,Кружка
48,"Термопаста STP-5 12.6 (Вт/мК), 3 грамма !STEEL Frost Diamond Game-X , термопаста для компьютера, процессора, ноутбука, видеокарты",491,4.8,26320,ozon,https://www.ozon.ru/product/termopasta-stp-5-12-6-vt-mk-3-gramma-steel-frost-diamond-game-x-termopasta-dlya-212834859/?at=28t05Mov3cGjvVRRhAjxVBJFo8D0yPi0o2JVJtljOBw5,Термопаста
49,Термопаста Arctic MX-4 4 грамма,457,4.9,25436,ozon,https://www.ozon.ru/product/termopasta-arctic-mx-4-4-gramma-160265987/?at=nRtr98pzDhokx11ZuEr2Q8jC26qLj5UAJ3MD4hZWOgny,Термопаста
50,"Термопаста для компьютера, ноутбука, процессора !STEEL Frost Aluminium STP-2, 3 грамма",241,4.8,26320,ozon,https://www.ozon.ru/product/termopasta-dlya-kompyutera-noutbuka-protsessora-steel-frost-aluminium-stp-2-3-gramma-212343033/?at=pZtp4YEGosZjz439h3ZGODzU443g1mfkg3XvytyjWzP,Термопаста
51,Термопаста Thermal Grizzly Kryonaut ultra high performance thermal grease 1 гр. TG-K-001-RS,632,4.8,3588,ozon,https://www.ozon.ru/product/termopasta-thermal-grizzly-kryonaut-ultra-high-performance-thermal-grease-1-gr-tg-k-001-rs-1277594754/?at=57twkBYo9cx7GNA1CGn94PxU155kKruEv9nljU7wg3EP,Термопаста
52,Термопаста Arctic Cooling Arctic MX-4 ( шприц 4 гр. ),390,4.8,3588,ozon,https://www.ozon.ru/product/termopasta-arctic-cooling-arctic-mx-4-shprits-4-gr-909966799/?at=pZtp4YEGosBY92Y7SgooApvCjV3KVwUoPBG34sQ9m0wX,Термопаста
53,Термопаста Arctic MX-6 2 грамма,461,4.6,3890,ozon,https://www.ozon.ru/product/termopasta-arctic-mx-6-2-gramma-836360511/?at=J8tg9NLRwT5EAP9jU6qWkNoiX9QD56H5jnMRjfXWvrE4,Термопаста
54,"Термопаста GD900-1 7 гр , шприц, теплопроводность термопасты 6 Вт/мК подходит для ноутбука, компьютера, процессора и видеокарты",285,4.9,10327,ozon,https://www.ozon.ru/product/termopasta-gd900-1-7-gr-shprits-teploprovodnost-termopasty-6-vt-mk-podhodit-dlya-noutbuka-1014967556/?at=WPtNrJw2qtBYEr75C3KXV19svQxppASW1MwvOcEQKrW7,Термопаста
55,"Термопаста, GD900 BA3, теплопроводящая паста, термоинтерфейс, 3гр, 4,8W/m-K",346,4.9,29020,ozon,https://www.ozon.ru/product/termopasta-gd900-ba3-teploprovodyashchaya-pasta-termointerfeys-3gr-4-8w-m-k-703144384/?at=z6tOW5N3qclx5Bj1FwnlVvWsjEOYlncrYDGPBT00OLV5,Термопаста
56,"Термопаста GD900 BA7, теплопроводящая паста, термоинтерфейс, 7 гр, 4,8W/m-K",228,4.9,12032,ozon,https://www.ozon.ru/product/termopasta-gd900-ba7-teploprovodyashchaya-pasta-termointerfeys-7-gr-4-8w-m-k-833700734/?at=gpt4EM5ryFoWn9ADsXB81z1fNmvR9Eu2Vpvgxh280BrZ,Термопаста
57,"Термопаста 18,8 Вт/мК, COOLMOON MT10 шприц 4 гр. Термопаста для процессора, ноутбука, видеокарт",635,4.9,1790,ozon,https://www.ozon.ru/product/termopasta-18-8-vt-mk-coolmoon-mt10-shprits-4-gr-termopasta-dlya-protsessora-noutbuka-videokart-1613890656/?at=nRtr98pzDhPZYQBmUQxQ7lYfo63EqwsjMxRk7TqgVLrg,Термопаста
58,Термопаста GD900 в шприце 15 грамм,258,4.9,29020,ozon,https://www.ozon.ru/product/termopasta-gd900-v-shpritse-15-gramm-862536189/?at=GRt23vZm4iN0ZZjJckgmBR1F46WjZlC5AjpE9CggqlJg,Термопаста
59,"Термопаста GD900-1 30 гр., 6 Вт/мК для процессора компьютера, ноутбука, видеокарты",415,4.9,10327,ozon,https://www.ozon.ru/product/termopasta-gd900-1-30-gr-6-vt-mk-dlya-protsessora-kompyutera-noutbuka-videokarty-804851614/?at=J8tg9NLRwTO6RY8nCpgyN7nSXvzmLlFl88vNPC7GNkA,Термопаста
60,Термопаста Zalman ZM-STC10,451,4.8,74,ozon,https://www.ozon.ru/product/termopasta-zalman-zm-stc10-1696622217/?at=6WtZL5lEmcmm9lm7I7wpgG8TqEyKx5F78mJjRCLL6X08,Термопаста
61,Термопаста GD900-CN30 Серый,255,5.0,1,ozon,https://www.ozon.ru/product/termopasta-gd900-cn30-seryy-1993651934/?at=36tWDnYwKsRP5W50TLwx4lBuA7WJn3iJNWW3Ni3z8o59,Термопаста
63,"Термопаста !STEEL Graphene STP-4(1,5 гр.), термопаста для компьютера, для ноутбука, для процессора",294,4.5,244,ozon,https://www.ozon.ru/product/termopasta-steel-graphene-stp-4-1-5-gr-termopasta-dlya-kompyutera-dlya-noutbuka-dlya-protsessora-296616181/?at=oZt62OpMYIEK6lZ3SYj0BNxiBBEq8ESB9wnmwhQAzK41,Термопаста
64,"Термопаста GD900, теплопроводящая паста, термоинтерфейс, 4,8 W/mK 7гр",133,4.8,515,ozon,https://www.ozon.ru/product/termopasta-gd900-teploprovodyashchaya-pasta-termointerfeys-4-8-w-mk-7gr-1300154537/?at=nRtr98pzDhAPEOns96rXw2H5Ox5gjfoXRwGKhO7pgKp,Термопаста
65,"Термопаста для компьютера, процессора, ноутбука, видеокарты. 4 грамма. Теплопроводность 8вт/мК",259,4.9,655,ozon,https://www.ozon.ru/product/termopasta-dlya-kompyutera-protsessora-noutbuka-videokarty-4-gramma-teploprovodnost-8vt-mk-1001149409/?at=57twkBYo9c4oQgOXs1rOXnrSOwL8N2iz3QKRJU8ZGpXy,Термопаста
